ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
1	304	0	0	0.000000	2.404605	2.404605	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
2	292	0	0	0.000000	2.082192	2.082192	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
3	302	0	0	0.000000	2.456954	2.456954	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
4	47	0	0	0.000000	1.340426	1.340426	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
5	317	0	0	0.000000	3.574132	3.574132	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
6	269	0	0	0.000000	1.684015	1.684015	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
7	528	0	0	0.000000	3.179924	3.179924	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
8	665	0	0	0.000000	4.517293	4.517293	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
9	349	1	0	0.000000	2.484241	2.484241	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
10	984	0	0	0.000000	2.207317	2.207317	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
11	93	0	0	0.000000	2.559140	2.559140	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
12	284	0	0	0.000000	1.922535	1.922535	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
13	266	0	0	0.000000	2.646617	2.646617	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
14	701	0	0	0.000000	3.174037	3.174037	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
15	81	0	0	0.000000	1.530864	1.530864	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
16	513	0	0	0.000000	2.752437	2.752437	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
17	270	0	0	0.000000	2.770370	2.770370	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
18	88	0	0	0.000000	1.647727	1.647727	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
19	182	0	0	0.000000	1.263736	1.263736	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
20	1307	1	1	0.000000	3.762816	3.762816	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
21	245	0	0	0.000000	2.322449	2.322449	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
22	276	0	0	0.000000	2.398551	2.398551	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
23	122	0	0	0.000000	2.672131	2.672131	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
24	97	0	0	0.000000	2.391753	2.391753	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
25	703	0	2	0.000000	8.870555	8.665718	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
26	600	0	0	0.000000	2.350000	2.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
27	151	0	0	0.000000	2.086093	2.086093	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
28	3	2	2	0.000000	6.666667	6.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
29	12	1	1	0.000000	3.166667	3.166667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
30	15	1	2	0.000000	3.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
31	1044	0	0	0.000000	2.892720	2.892720	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
32	508	0	0	0.000000	2.061024	2.061024	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
33	86	1	0	0.000000	2.465116	2.465116	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
34	210	0	0	0.000000	2.047619	2.047619	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
35	519	0	0	0.000000	2.591522	2.591522	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
36	633	1	0	0.000000	2.565561	2.565561	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
37	106	0	0	0.000000	3.132075	3.132075	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
38	517	0	0	0.000000	2.141199	2.141199	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
39	381	0	0	0.000000	3.091864	3.091864	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
40	87	0	0	0.000000	2.218391	2.218391	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
41	284	0	0	0.000000	1.098592	1.098592	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
42	439	0	0	0.000000	3.207289	3.207289	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
43	52	1	0	0.000000	1.480769	1.480769	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
44	75	0	1	0.000000	1.706667	1.706667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
45	293	0	0	0.000000	1.716724	1.716724	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
46	281	0	0	0.000000	1.188612	1.188612	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
47	234	0	0	0.000000	1.799145	1.799145	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
48	322	0	0	0.000000	1.667702	1.667702	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
49	507	0	0	0.000000	2.897436	2.897436	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
50	86	0	0	0.000000	2.360465	2.360465	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
51	340	0	0	0.000000	2.167647	2.167647	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
52	393	0	0	0.000000	1.659033	1.659033	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
53	239	0	0	0.000000	1.782427	1.782427	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
54	325	0	0	0.000000	2.409231	2.409231	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
55	422	0	0	0.000000	2.132701	2.132701	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
56	462	0	0	0.000000	1.900433	1.900433	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
57	365	0	0	0.000000	1.386301	1.386301	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
58	277	0	0	0.000000	2.057762	2.057762	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
59	250	0	0	0.000000	1.436000	1.436000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
60	279	0	0	0.000000	2.157706	2.157706	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
61	100	0	0	0.000000	3.180000	3.180000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
62	210	0	0	0.000000	1.990476	1.990476	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
63	290	0	0	0.000000	1.803448	1.803448	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
64	238	0	0	0.000000	1.882353	1.882353	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
